episode,reward,length,success
1109,-96.1368,371,0
1110,-17.6800,500,0
1111,-130.3856,482,0
1112,-106.6153,243,0
1113,-29.1159,500,0
1114,-104.7629,176,0
1115,-4.6493,500,0
1116,-39.7880,500,0
1117,-105.8217,439,0
1118,-14.0723,500,0
1119,-102.7870,52,0
1120,-103.8154,489,0
1121,-103.1163,371,0
1122,-25.3473,500,0
1123,-15.4137,500,0
1124,-23.1001,500,0
1125,0.4252,500,0
1126,-18.4180,500,0
1127,-127.4275,413,0
1128,-27.7927,500,0
1129,-26.1412,500,0
1130,-112.7766,220,0
1131,-35.6708,500,0
1132,-28.0783,500,0
1133,-23.5344,500,0
1134,-35.0916,500,0
1135,-26.9191,500,0
1136,-30.3390,500,0
1137,-19.5280,500,0
1138,-35.7156,500,0
1139,-101.8301,126,0
1140,-15.8533,500,0
1141,-104.9946,63,0
1142,-31.2808,500,0
1143,-6.5297,500,0
1144,-37.4477,500,0
1145,-29.2078,500,0
1146,-23.8750,500,0
1147,-114.2531,455,0
1148,-108.8182,355,0
1149,-114.2589,331,0
1150,-119.8860,301,0
1151,-36.0388,500,0
1152,-21.6556,500,0
1153,-116.9517,219,0
1154,-22.3852,500,0
1155,-102.5181,258,0
1156,-14.1644,500,0
1157,-20.2582,500,0
